KODE;NORSK_BRUKSNAVN;SEKUNDAERT_FAGOMRAADE;FAGOMRAADE_NLK;REFUSJONSKATEGORI;REFUSJON_stat;REFUSJON_privat;STJERNEKODE;REFUSJONSKATEGORI_ENDRET
NPU02647;P-Magnesium;;Medisinsk biokjemi;MB1;5,16;4,77;1;
NPU02648;U-Magnesium;;Medisinsk biokjemi;MB2;6,96;6,45;1;
NPU02668;B-Mangan (Mn);Klinisk farmakologi;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU02669;P-Mangan (Mn);Klinisk farmakologi;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02689;U-Medazepam;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU02696;P-Meprobamat;;Klinisk farmakologi;KF5;155,17;153,54;0;
NPU02697;U-Meprobamat;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU02699;B-Kvikksølv (Hg);;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU02700;Hår-Kvikksølv (Hg);Klinisk farmakologi;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02701;P-Kvikksølv (Hg);Klinisk farmakologi;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02702;U-Kvikksølv (Hg);Klinisk farmakologi;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU02708;U-Mesterolon;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU02711;U-Metamfetamin;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU02714;U-Metandrostenolon (metandienon);;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU02718;U-Metenolon;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU02721;U-Metadon;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU02722;U-Metadon;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU02723;P-Metanol;;Klinisk farmakologi;KF9;809,17;800,58;0;
NPU02725;Hb-Methemoglobin;;Medisinsk biokjemi;MB6;23,18;21,5;0;
NPU02726;P-Metionin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU02727;U-Metionin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU02738;Sp-Metotreksat;;Klinisk farmakologi;KF5;155,17;153,54;0;
NPU02739;P-Metotreksat;;Klinisk farmakologi;KF5;155,17;153,54;0;
NPU02776;P-1-Metylhistidin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU02777;U-1-Metylhistidin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU02778;P-3-Metylhistidin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU02779;U-3-Metylhistidin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU02780;P-MMA (Metylmalonsyre);;Medisinsk biokjemi;MB8;57,76;53,57;0;MB9 til MB8
NPU02781;U-MMA (Metylmalonsyre);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02800;U-Metylfenidat;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU02803;U-Metyltestosteron;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU02815;U-Metoprolol;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU02816;U-Mianserin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU02834;P-Mitokondrie antistoff (AMA);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02836;B-Molybden (Mo);;Klinisk farmakologi;KF7;477,48;472,39;0;
NPU02837;Hår-Molybden (Mo);Klinisk farmakologi;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02840;B-Monocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02841;P-Mononukleose-relatert antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU02845;P-Meslingvirus (morbillivirus) antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU02846;U-Morfin(ukonjungert);;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU02849;U-Morfin (ukonjungert);;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU02853;P-Mycoplasma pneumoniae antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU02887;U-Nandrolon (19-nortestosteron);;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU02888;P-Neisseria gonorrhoeae antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU02891;P-Neisseria meningitidis antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU02893;P-Netilmicin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU02902;B-Nøytrofile granulocytter;;Medisinsk biokjemi;MB0;0,5;0,48;1;
NPU02905;Hår-Nikkel;Klinisk farmakologi;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02906;P-Nikkel;Klinisk farmakologi;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU02915;P-Nitrazepam;;Klinisk farmakologi;KF4;75,18;74,4;0;
NPU02916;U-Nitrazepam;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU02920;U-Noretandrolon;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU02923;P-Nortriptylin;;Klinisk farmakologi;KF8;656,5;649,55;0;KF7 til KF8
NPU02924;U-Nortriptylin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU02936;P-Ornitin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU02937;U-Ornitin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU02966;Ery-Osmotisk resistens;;Medisinsk biokjemi;MB11;225,07;208,71;0;
NPU02968;P-Osteokalsin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU02970;P-Oksalat;;Medisinsk biokjemi;MB13;1224,82;1135,76;0;
NPU02971;U-Oksalsyre;;Medisinsk biokjemi;MB13;1224,82;1135,76;0;
NPU02974;U-Oksandrolon;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU02975;U-Oksazepam;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU03010;B-pO2 50%;;Medisinsk biokjemi;MB5;17,01;15,75;0;
NPU03011;aB-O2-metning;;Medisinsk biokjemi;MB5;17,01;15,75;0;
NPU03013;aB-HbO2;;Medisinsk biokjemi;MB5;17,01;15,75;0;
NPU03017;U-Oksymesteron;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU03020;U-Oksymetolon;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU03024;P-Paracetamol;;Klinisk farmakologi;KF4;75,18;74,4;0;
NPU03026;P-Parainfluensavirus antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03028;P-PTH;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03029;P-Parietalcelle antistoff;;Immunologi og transfusjonsmedisin;IT4;60,23;59,87;0;
NPU03030;P-Parotittvirus antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03035;U-Pentazocin;;Klinisk farmakologi;KF2;22,68;22,44;0;KF3 til KF2
NPU03038;U-Pentazocin;;Klinisk farmakologi;KF2;22,68;22,44;0;KF3 til KF2
NPU03042;U-Pentobarbital;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU03047;P-Perfenazin;;Klinisk farmakologi;KF7;477,48;472,39;0;
NPU03048;U-Perfenazin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03049;U-Petidin;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU03052;U-Petidin;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU03061;U-Fenmetrazin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03062;P-Fenobarbital;;Klinisk farmakologi;KF4;75,18;74,4;0;
NPU03063;U-Fenobarbital;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU03069;Sp-Fenylalanin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03070;P-Fenylalanin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03071;U-Fenylalanin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU03084;U-Norefedrin;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU03085;P-Fenytoin;;Klinisk farmakologi;KF4;75,18;74,4;0;
NPU03095;U-Fosfat pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;1;MB2 til MB0
NPU03096;P-Fosfat (uorg);;Medisinsk biokjemi;MB1;5,16;4,77;1;MB2 til MB1
NPU03114;P-Fosfoetanolamin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03171;P-Fytansyre;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03183;P-Plasminogen aktivitet;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;MB2 til MB14
NPU03210;U-PBG;;Medisinsk biokjemi;MB11;225,07;208,71;0;MB8 til MB11
NPU03216;P-PBG deaminase;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03227;F-Porfyriner;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03229;U-Kalium pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;1;MB2 til MB0
NPU03230;P-Kalium;;Medisinsk biokjemi;MB1;5,16;4,77;1;MB2 til MB1
NPU03235;P-Primidon;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03237;P-Angiotensin I;;Medisinsk biokjemi;MB9;82,39;76,4;0;MB2 til MB9
NPU03242;P-Progesteron;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB6 til MB7
NPU03247;P-C-peptid;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB8 til MB7
NPU03254;P-PCNA IgG;;Immunologi og transfusjonsmedisin;IT4;60,23;59,87;0;IT2 til IT4
NPU03255;Sp-Prolin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03256;P-Prolin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03257;U-Prolin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU03263;U-Prometazin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03266;U-Propranolol;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03269;U-Propranolol;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03276;Sp-Protein;;Medisinsk biokjemi;MB4;12,61;11,69;0;
NPU03277;U-Protein pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;1;MB2 til MB0
NPU03278;P-Protein;;Medisinsk biokjemi;MB3;9,53;8,81;1;
NPU03280;P-Protein C;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03281;P-Protein C;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03282;P-Protein C;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03283;P-Protein C+acarboxy;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03284;P-Protein C(aktivert) resistens;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03293;P-Protein S aktivitet;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03294;P-Protein S;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03295;P-Protein S;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03296;P-Protein S+acarboxy;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03297;P-Protein S, fritt;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03298;P-Protein S, fritt;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03299;P-Protein S+acarboxy, fritt;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03300;P-Proteinelektroforese;;Medisinsk biokjemi;MB10;133,86;124,13;0;
NPU03301;U-Proteinelektroforese;;Medisinsk biokjemi;MB10;133,86;124,13;0;
NPU03328;aB-Pyruvat;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03349;P-Kinidin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03350;P-Kinin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03351;P-Renin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03354;P-Respiratorisk syncytial virus antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03357;P-Vit A (Retinoler);;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03358;P-Retinolbindende protein;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03359;U-Riboflavin pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03369;P-Rubellavirus antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03383;P-Salisylsyre;;Klinisk farmakologi;KF5;155,17;153,54;0;
NPU03384;U-Salisylsyre;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03387;P-Salmonella paratyphi B H antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03388;P-Salmonella paratyphi B O antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03389;P-Salmonella paratyphi B antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03392;P-Salmonella typhi H antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03393;P-Salmonella typhi antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03394;P-Salmonella typhi O antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03396;P-Sarkosin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03400;U-Schistosoma(egg);;Medisinsk mikrobiologi;MM6;191,67;183,3;0;
NPU03401;P-Schistosoma mansoni antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03404;B-SR;;Medisinsk biokjemi;MB5;17,01;15,75;1;
NPU03407;Pt-Sædklarhet;Reproduksjonsmedisin;Medisinsk biokjemi;MB5;17,01;15,75;0;
NPU03408;Sæd-Konsistens, viskositet;Reproduksjonsmedisin;Medisinsk biokjemi;MB3;9,53;8,81;0;
NPU03409;Sæd-Likvifisering;Reproduksjonsmedisin;Medisinsk biokjemi;MB5;17,01;15,75;0;
NPU03410;Sæd-Varighet etter ejakulasjon;Reproduksjonsmedisin;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03411;Pt-Seksuell abstinens;Reproduksjonsmedisin;Medisinsk biokjemi;MB3;9,53;8,81;0;
NPU03412;Sæd(Pt)-Volum;Reproduksjonsmedisin;Medisinsk biokjemi;MB3;9,53;8,81;0;
NPU03413;U-Meprobamat;;Klinisk farmakologi;KF2;22,68;22,44;0;
NPU03414;Sp-Serin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03415;P-Serin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03416;U-Serin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU03419;P-Seksualhormonbindende globulin (SHBG);;Medisinsk biokjemi;MB6;23,18;21,5;0;
NPU03428;P-Sm antistoff;;Immunologi og transfusjonsmedisin;IT3;45,18;44,91;0;
NPU03429;P-Natrium;;Medisinsk biokjemi;MB1;5,16;4,77;1;
NPU03430;Sv-Natrium;;Medisinsk biokjemi;MB1;5,16;4,77;1;
NPU03431;U-Natrium;;Medisinsk biokjemi;MB2;6,96;6,45;1;
NPU03433;P-Osmolalitet;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03434;U-Osmolalitet;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03435;P-Somatostatin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03436;P-Veksthormon;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03446;P-Spermieantistoff;;Immunologi og transfusjonsmedisin;IT2;32,44;32,25;0;IT0 til IT2
NPU03451;Sæd-Germinalceller;Reproduksjonsmedisin;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03454;Sæd-Spermier (antall);Reproduksjonsmedisin;Medisinsk biokjemi;MB9;82,39;76,4;0;
NPU03455;Sæd-Spermier (konsentrasjon);Reproduksjonsmedisin;Medisinsk biokjemi;MB9;82,39;76,4;0;
NPU03456;Spz-Spermier;Reproduksjonsmedisin;Medisinsk biokjemi;MB10;133,86;124,13;0;
NPU03458;Sæd(Pt)+CerMu(Pt)-Spermiepenetrering (postcoital);Reproduksjonsmedisin;Medisinsk biokjemi;MB9;82,39;76,4;0;MB0 til MB9
NPU03471;U-Stanozolol;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU03488;P-Pneumokokk antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03493;P-Streptolysin O antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03497;U-Stryknin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03520;B-Sulfhemoglobin;;Medisinsk biokjemi;MB1;5,16;4,77;0;
NPU03540;Sp-Taurin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03541;P-Taurin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03542;U-Taurin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU03543;P-Testosteron;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB6 til MB7
NPU03544;Spytt-Testosteron;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03545;SemP-Testosteron;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03548;U-Testosteron;;Medisinsk biokjemi;MB11;225,07;208,71;0;
NPU03549;P-Testosteron, fritt;;Medisinsk biokjemi;MB6;23,18;21,5;1;
NPU03551;B-Thallium (Tl);;Klinisk farmakologi;KF7;477,48;472,39;0;
NPU03554;P-Teofyllin;;Klinisk farmakologi;KF5;155,17;153,54;0;KF4 til KF5
NPU03556;U-Tioridazin;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03557;Sp-Treonin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03558;P-Treonin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03559;U-Treonin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU03562;B-MPV;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03564;P-HPA-antistoff titer;;Immunologi og transfusjonsmedisin;IT9;1146,94;1140,12;0;IT7 til IT9
NPU03566;P-Heparin PF4 kompleks IgG;;Immunologi og transfusjonsmedisin;IT9;1146,94;1140,12;0;IT5 til IT9
NPU03567;P-Heparin PF4 kompleks IgG;;Immunologi og transfusjonsmedisin;IT9;1146,94;1140,12;0;IT8 til IT9
NPU03568;B-Trombocytter;;Medisinsk biokjemi;MB3;9,53;8,81;1;
NPU03572;P-Tyreoglobulin;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03574;P-Tyreoidea antistoff;;Immunologi og transfusjonsmedisin;IT6;116,3;105,96;0;
NPU03577;P-TSH;;Medisinsk biokjemi;MB6;23,18;21,5;0;
NPU03578;P-T4;;Medisinsk biokjemi;MB6;23,18;21,5;0;
NPU03579;P-T4, fritt;;Medisinsk biokjemi;MB6;23,18;21,5;0;MB5 til MB6
NPU03586;P-Tobramycin;;Klinisk farmakologi;KF5;155,17;153,54;0;
NPU03589;P-Vit E (Tokoferol);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03591;P-Toxoplasma gondii antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03605;P-Transkobalamin-2;;Medisinsk biokjemi;MB2;6,96;6,45;0;MB6 til MB2
NPU03606;P-Kortikosteroidbindende globulin (CBG);;Medisinsk biokjemi;MB11;225,07;208,71;0;
NPU03611;P-Treponema pallidum antistoff (syfilis);;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03616;U-Triazolam;;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NPU03620;P-Triglyserid, fastende;;Medisinsk biokjemi;MB2;6,96;6,45;1;
NPU03624;P-T3;;Medisinsk biokjemi;MB6;23,18;21,5;0;
NPU03625;P-T3, fritt;;Medisinsk biokjemi;MB6;23,18;21,5;0;MB5 til MB6
NPU03653;Sp-Tryptofan;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03654;U-Tryptofan;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU03655;P-Tryptofan, fritt;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03659;P-Tyrosin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03660;U-Tyrosin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU03687;U-Urat pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;1;MB2 til MB0
NPU03694;U-Spesifikk vekt;Klinisk farmakologi;Medisinsk biokjemi;MB4;12,61;11,69;0;
NPU03695;Pt-Urinvolum;;Medisinsk biokjemi;MB7;35,12;32,55;1;MB1 til MB7
NPU03696;U-Urobilin;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03697;U-Urobilinogen (semikvantitativt);;Medisinsk biokjemi;MB0;0,5;0,48;0;MB5 til MB0
NPU03732;Sp-Valin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03733;P-Valin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NPU03734;U-Valin;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB2 til MB7
NPU03735;P-Valproat;;Klinisk farmakologi;KF3;41,75;41,3;0;
NPU03739;U-VMA pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;MB11 til MB0
NPU03740;U-Flupentiksol;;Klinisk farmakologi;KF0;0,6;0,6;0;KF9 til KF0
NPU03742;P-Varicella-zoster virus antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03748;P-Von Willebrand-Faktor antigen;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03749;P-Von Willebrand-Faktor Rcof;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03752;P-Von Willebrand-Faktor multimer;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NPU03766;P-Yersinia enterocolitica antistoff;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03768;P-Sink;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03770;U-Sink;Klinisk farmakologi;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03787;U-Kalium;;Medisinsk biokjemi;MB2;6,96;6,45;1;
NPU03794;Pt-Høyde;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03795;Pt-Blodvolum;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03796;U-Natrium pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;1;MB1 til MB0
NPU03800;U-Kreatinin pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03802;U-VMA/Kreatinin;;Medisinsk biokjemi;MB0;0,5;0,48;0;MB11 til MB0
NPU03804;Pt-Kroppsvekt;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03815;Ecv-Base excess;;Medisinsk biokjemi;MB5;17,01;15,75;0;
NPU03819;P-Koagulasjonsfaktor V, aktivert;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03821;P-Koagulasjonsfaktor VIII, aktivert;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03825;P-Koagulasjonsfaktor XII, aktivert;;Medisinsk biokjemi;MB12;514,71;477,31;0;
NPU03835;B-HbA1c;;Medisinsk biokjemi;MB6;23,18;21,5;0;
NPU03849;aB-Oksygenkonsentrasjon;;Medisinsk biokjemi;MB1;5,16;4,77;0;
NPU03856;U-Sylindre (liste);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03893;B-Selen (Se);;Klinisk farmakologi;KF5;155,17;153,54;0;
NPU03902;P-Okskarbazepin;;Klinisk farmakologi;KF7;477,48;472,39;0;
NPU03916;U-Adrenalin;;Medisinsk biokjemi;MB10;133,86;124,13;0;
NPU03917;U-Adrenalin pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;MB10 til MB0
NPU03918;U-Albumin/Kreatinin;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03925;Amv-Alfa-føtoprotein (AFP);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03927;P-Sum: Amitriptylin+nortriptylin;;Klinisk farmakologi;KF0;0,6;0,6;0;
NPU03928;P-Ammoniakk;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB6 til MB8
NPU03929;U-Kalsium/Kreatinin;;Medisinsk biokjemi;MB0;0,5;0,48;1;
NPU03930;U-Karbamid;;Medisinsk biokjemi;MB2;6,96;6,45;1;MB4 til MB2
NPU03933;P-Sum: Klomipramin+desmetylklomipramin;;Klinisk farmakologi;KF0;0,6;0,6;0;
NPU03934;P-Sum: Doksepin+desmetyldoksepin;;Klinisk farmakologi;KF0;0,6;0,6;0;
NPU03936;U-Glukose;;Medisinsk biokjemi;MB3;9,53;8,81;1;MB1 til MB3
NPU03937;P-Haloperidol;;Klinisk farmakologi;KF8;656,5;649,55;0;
NPU03939;U-5-HIAA pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;MB10 til MB0
NPU03940;U-Jern;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03941;Sv-Kalium;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03942;B(vB)-Laktat;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NPU03943;P(aB)-Laktat;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03944;P(vB)-Laktat;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NPU03945;U-Magnesium pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;1;MB2 til MB0
NPU03947;P-Meslingvirus (morbillivirus) IgG;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03948;P-Meslingvirus (morbillivirus) IgM;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03949;U-Noradrenalin;;Medisinsk biokjemi;MB10;133,86;124,13;0;
NPU03950;U-Noradrenalin pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;MB10 til MB0
NPU03951;U-Oksalat pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03952;P-Parotittvirus IgG;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03953;P-Parotittvirus IgM;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NPU03954;P-Pentobarbital;;Klinisk farmakologi;KF8;656,5;649,55;0;
NPU03955;U-Fosfat (uorg);;Medisinsk biokjemi;MB2;6,96;6,45;1;MB3 til MB2
NPU03957;U-Porfyriner;;Medisinsk biokjemi;MB10;133,86;124,13;0;MB8 til MB10
NPU03958;U-Protein;;Medisinsk biokjemi;MB2;6,96;6,45;1;
NPU03959;U-Urat;;Medisinsk biokjemi;MB2;6,96;6,45;1;
NPU03960;Ldv-Urat;;Medisinsk biokjemi;MB2;6,96;6,45;0;MB0 til MB2
NPU03961;U-Sink pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NPU03962;P-Zuklopentiksol;;Klinisk farmakologi;KF7;477,48;472,39;0;
NPU03963;U-Erytrocytter;;Medisinsk biokjemi;MB1;5,16;4,77;0;
NPU03965;B-Lymfocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
