ICD10;Tekst
K581;Irritabel tarm-syndrom med hovedsakelig diaré [IBS-D]
K582;Irritabel tarm-syndrom med hovedsakelig obstipasjon [IBS-C]
K583;Irritabel tarm-syndrom, blandet forstyrr. i avf.mønst[IBS-M]
K588;Irritabel tarm-syndrom, annet og uspesifisert
K590;Forstoppelse
K591;Funksjonell diaré
K592;Nevrogen tarmlidelse, ikke klassifisert annet sted
K593;Megacolon, ikke klassifisert annet sted
K594;Analspasme
K598;Andre spesifiserte funksjonelle forstyrrelser i tarm
K599;Uspesifisert funksjonell forstyrrelse i tarm
K600;Akutt analfissur
K601;Kronisk analfissur
K602;Uspesifisert analfissur
K603;Anal fistel
K604;Rektal fistel
K605;Anorektal fistel
K610;Anal abscess
K611;Rektal abscess
K612;Anorektal abscess
K613;Ischiorektal abscess
K614;Abscess i sfinkter ani
K620;Analpolypp
K621;Rektalpolypp
K622;Prolaps av analkanal
K623;Rektalprolaps
K624;Stenose i endetarmsåpning, analkanal og endetarm
K625;Blødning i endetarmsåpning, analkanal og endetarm
K626;Sår i endetarmsåpning, analkanal og endetarm
K627;Strålingsproktitt
K628;Andre spes. forst. i endetarmsåpning, analkanal og endetarm
K629;Uspesifisert sykdom i endetarmsåpning, analkanal og endetarm
K630;Tarmabscess
K631;Perforasjon av tarm (ikke-traumatisk)
K632;Tarmfistel
K633;Sår i tarm
K634;Tarmdescens [enteroptose]
K635;Polypp i tykktarm
K638;Andre spesifiserte sykdommer i tarm
K639;Uspesifisert sykdom i tarm
K640;Hemoroider grad 1
K641;Hemoroider grad 2
K642;Hemoroider grad 3
K643;Hemoroider grad 4
K644;Marisker
K645;Perianal venøs trombose
K648;Andre spesifiserte hemoroider
K649;Uspesifiserte hemoroider
K650;Akutt peritonitt
K658;Annen spesifisert peritonitt
K659;Uspesifisert peritonitt
K660;Adheranser i bukhinne
K661;Hemoperitoneum
K662;Retroperitoneal fibrose
K668;Andre spesifiserte sykdommer i bukhinne
K669;Uspesifisert sykdom i bukhinne
K670;Klamydiaperitonitt
K671;Gonokokkperitonitt
K672;Syfilitisk peritonitt
K673;Tuberkuløs peritonitt
K678;A. spes. manifest. i bukhinne av infek.sykd. klass. a. sted
K700;Alkoholisk fettlever
K701;Alkoholisk hepatitt
K702;Alkoholisk fibrose og sklerose i lever
K703;Alkoholisk cirrhose i lever
K704;Alkoholisk leversvikt
K709;Uspesifisert alkoholisk leversykdom
K710;Toksisk leversykdom med kolestase
K711;Toksisk leversykdom med levernekrose
K712;Toksisk leversykdom med akutt hepatitt
K713;Toksisk leversykdom med kronisk persisterende hepatitt
K714;Toksisk leversykdom med kronisk lobær hepatitt
K715;Toksisk leversykdom med kronisk aktiv hepatitt
K716;Toksisk leversykdom med hepatitt IKAS
K717;Toksisk leversykdom med fibrose og cirrhose i lever
K718;Toksisk leversykdom med andre spes. forstyrrelser i lever
K719;Uspesifisert toksisk leversykdom
K720;Akutt og subakutt leversvikt
K721;Kronisk leversvikt
K729;Uspesifisert leversvikt
K730;Kronisk persistent hepatitt, ikke klassifisert annet sted
K731;Kronisk lobær hepatitt, ikke klassifisert annet sted
K732;Kronisk aktiv hepatitt, ikke klassifisert annet sted
K738;Annen spesifisert kronisk hepatitt IKAS
K739;Uspesifisert kronisk hepatitt
K740;Leverfibrose
K741;Leversklerose
K742;Leverfibrose med leversklerose
K743;Primær biliær cirrhose
K744;Sekundær biliær cirrhose
K745;Uspesifisert biliær cirrhose
K746;Annen og uspesifisert cirrhose i lever
K750;Leverabscess
K751;Flebitt i portvene
K752;Uspesifikk reaktiv hepatitt
K753;Granulomatøs hepatitt, ikke klassifisert annet sted
K754;Autoimmun hepatitt
K758;Annen spesifisert inflammatorisk leversykdom
K759;Uspesifisert inflammatorisk leversykdom
K760;Fettlever, ikke klassifisert annet sted
K761;Sekundær leverstuvning
K762;Sentral hemoragisk levernekrose
K763;Infarkt i lever
K764;Leverpurpura
K765;Venookklusiv leversykdom
K766;Portal hypertensjon
K767;Hepatorenalt syndrom
K768;Andre spesifiserte leversykdommer
K769;Uspesifisert leversykdom
K770;Leveraff. ved infek.- og paras.sykd. klassifisert annet sted
K778;Leveraffeksjoner ved andre sykdommer klassifisert annet sted
K800;Gallesten med akutt galleblærebetennelse
K801;Gallesten med annen galleblærebetennelse
K802;Gallesten uten galleblærebetennelse
K803;Sten i gallegang med kolangitt
K804;Sten i gallegang med galleblærebetennelse
K805;Sten i gallegang uten kolangitt eller galleblærebetennelse
K808;Annen spesifisert gallesten
K810;Akutt galleblærebetennelse
K811;Kronisk galleblærebetennelse
K818;Annen spesifisert galleblærebetennelse
K819;Uspesifisert galleblærebetennelse
K820;Obstruksjon i galleblære
K821;Hydrops i galleblære
K822;Perforasjon av galleblære
K823;Fistel i galleblære
K824;Kolesterolnedslag i galleblærevegg
K828;Andre spesifiserte sykdommer i galleblære
K829;Uspesifisert sykdom i galleblære
K830;Kolangitt
K8300;Primær skleroserende kolangitt
K831;Obstruksjon av gallegang
K832;Perforasjon av gallegang
K833;Fistel i gallegang
K834;Spasme i sfinkter Oddi
K835;Biliær cyste
K838;Andre spesifiserte sykdommer i galleveier
K839;Uspesifisert sykdom i galleveier
K850;Idiopatisk akutt pankreatitt
K851;Biliær akutt pankreatitt
K852;Alkoholindusert akutt pankreatitt
K853;Legemiddelutløst akutt pankreatitt
K858;Annen spesifisert akutt pankreatitt
K859;Upesifisert akutt pankreatitt
K860;Alkoholutløst kronisk pankreatitt
K861;Annen kronisk pankreatitt
K862;Cyste i bukspyttkjertel
K863;Pseudocyste i bukspyttkjertel
K868;Andre spes. ikke-infeksiøse sykdommer i bukspyttkjertel
K869;Uspesifisert ikke-infeksiøs sykdom i bukspyttkjertel
K870;Aff. i galleblære og galleveier av sykd. klass. annet sted
K871;Affeksjoner i bukspyttkjertel av sykdommer klass. annet sted
K900;Cøliaki
K901;Tropisk sprue
K902;"""Blind loop""-syndrom, ikke klassifisert annet sted"
K903;Pankreatisk steatoré
K904;Malabsorpsjon som skyldes intoleranse IKAS
K908;Annen spesifisert intestinal malabsorpsjon
K909;Uspesifisert intestinal malabsorpsjon
K910;Oppkast etter gastrointestinal kirurgi
K911;Funksjonelle forstyrrelser etter kirurgi på magesekk
K912;Postoperativ malabsorpsjon, ikke klassifisert annet sted
K913;Postoperativ tarmobstruksjon
K914;Funksjonssvikt i kolostomi og enterostomi
K915;Postkolecystektomisyndrom
K918;A. spes. forst. i fordøy.syst. som følge av prosedyrer IKAS
K919;Uspes. forst. i fordøyelsessystemet som følge av prosedyrer
K920;Hematemese
K921;Melena
K922;Uspesifisert gastrointestinal blødning
K928;Andre spesifiserte sykdommer i fordøyelsessystemet
K929;Uspesifisert sykdom i fordøyelsessystemet
K930;Tub. sykd. i tarmer, bukhinne og lymfeknuter i mesenterium
K931;Megacolon ved Chagas' sykdom
K938;Sykdommer i andre spes. fordøy.org. ved sykd. klass. a. sted
L00;Hud-syndrom som skyldes stafylokokker
L010;Impetigo (enhver organisme) (enhver lokalisasjon)
L011;Impetiginisering av andre dermatoser
L020;Kutan abscess, furunkel og karbunkel i ansikt
L021;Kutan abscess, furunkel og karbunkel på hals
L022;Kutan abscess, furunkel og karbunkel på trunkus
L023;Kutan abscess, furunkel og karbunkel på sete
L024;Kutan abscess, furunkel og karbunkel på ekstremitet
L028;Kutan abscess/furunkel/karbunkel med annen spes.lokalisasjon
L029;Uspesifisert kutan abscess, furunkel og karbunkel
L030;Cellulitt på finger og tå
L031;Cellulitt på andre deler av ekstremiteter
L032;Cellulitt i ansikt
L033;Cellulitt på trunkus
L038;Cellulitt med annen spesifisert lokalisasjon
L039;Uspesifisert cellulitt
L040;Akutt lymfadenitt i ansikt, hode og på hals
L041;Akutt lymfadenitt på trunkus
L042;Akutt lymfadenitt på overekstremitet
L043;Akutt lymfadenitt på underekstremitet
L048;Akutt lymfadenitt med andre spesifiserte lokalisasjoner
L049;Uspesifisert akutt lymfadenitt
L050;Pilonidalcyste med abscess
L059;Pilonidalcyste uten abscess
L080;Pyodermi
L081;Erythrasma
L088;Andre spesifiserte lokale infeksjoner i hud og underhud
L089;Uspesifisert lokal infeksjon i hud og underhud
L100;Pemphigus vulgaris
L101;Pemphigus vegetans
L102;Pemphigus foliaceus
L103;Brasiliansk pemfigus
L104;Pemphigus erythematosus
L105;Legemiddelutløst pemfigus
L108;Annen spesifisert pemfigus
L109;Uspesifisert pemfigus
L110;Ervervet follikulær keratose
L111;Forbigående akantolytisk dermatose
L118;Andre spesifiserte akantolytiske lidelser
L119;Uspesifisert akantolytisk lidelse
L120;Bulløs pemfigoid
L121;Arrdannende pemfigoid
L122;Kronisk bulløs sykdom hos barn
L123;Ervervet epidermolysis bullosa
L128;Annen spesifisert pemfigoid
L129;Uspesifisert pemfigoid
L130;Dermatitis herpetiformis
L131;Dermatosis pustulosa subcornealis
L138;Andre spesifiserte bulløse lidelser
L139;Uspesifisert bulløs lidelse
L14;Bulløse lidelser ved sykdommer klassifisert annet sted
L200;Besniers prurigo
L208;Annen spesifisert atopisk dermatitt
L209;Uspesifisert atopisk dermatitt
L210;Seborrhoea capitis
L211;Seboréisk dermatitt hos spedbarn
L218;Annen spesifisert seboréisk dermatitt
L219;Uspesifisert seboréisk dermatitt
L22;Bleiedermatitt
L230;Allergisk kontaktdermatitt som skyldes metaller
L231;Allergisk kontaktdermatitt som skyldes klebemidler
L232;Allergisk kontaktdermatitt som skyldes kosmetikk
L233;All. kontaktdermatitt s. sk. legemidler i kontakt med hud
L234;Allergisk kontaktdermatitt som skyldes fargestoffer
L235;All. kontaktdermatitt som skyldes andre kjemiske produkter
L236;All. kontaktdermatitt som skyldes matvarer i kontakt med hud
L237;All. kontaktdermatitt som skyldes planter, unntatt matvarer
L238;Allergisk kontaktdermatitt som skyldes andre spes. stoffer
L239;Allergisk kontaktdermatitt, uspesifisert årsak
L240;Toksisk kontaktdermatitt som skyldes vaskemidler
L241;Toksisk kontaktdermatitt som skyldes oljer og smøremidler
L242;Toksisk kontaktdermatitt som skyldes løsemidler
L243;Toksisk kontaktdermatitt som skyldes kosmetikk
L244;Toksisk kontaktdermatitt s. sk. legemidler i kontakt med hud
L245;Toksisk kontaktdermatitt s. sk. andre kjemiske produkter
L246;Toksisk kontaktdermatitt s. sk. matvarer i kontakt med hud
L247;Toksisk kontaktdermatitt s. sk. planter, unntatt matvarer
L248;Toksisk kontaktdermatitt som skyldes andre spes. stoffer
L249;Toksisk kontaktdermatitt, uspesifisert årsak
L250;Uspesifisert kontaktdermatitt som skyldes kosmetikk
L251;Uspes. kontaktdermatitt s. sk. legemidler i kontakt med hud
L252;Uspesifisert kontaktdermatitt som skyldes fargestoffer
L253;Uspes. kontaktdermatitt som skyldes andre kjemiske produkter
L254;Uspes. kontaktdermatitt s. sk. matvarer i kontakt med hud
L255;Uspes. kontaktdermatitt s. sk. planter, unntatt matvarer
L258;Uspes. kontaktdermatitt som skyldes andre spes. stoffer
L259;Uspesifisert kontaktdermatitt, uspesifisert årsak
L26;Eksfoliativ dermatitt
L270;Generalisert hudreaksjon som skyldes legemidler
L271;Lokalisert hudreaksjon som skyldes legemidler
L272;Dermatitt som skyldes fortærte matvarer
L278;Dermatitt som skyldes andre spesifiserte inntatte stoffer
L279;Dermatitt som skyldes uspesifisert inntatt stoff
L280;Lichen simplex chronicus
L281;Prurigo nodularis
L282;Annen prurigo
L290;Pruritus ani
L291;Pruritus scroti
L292;Pruritus vulvae
L293;Uspesifisert anogenital kløe
L298;Annen spesifisert kløe
L299;Uspesifisert kløe
L300;Nummulær dermatitt
L301;Dyshidrose
L302;Kutan autosensibilisering
L303;Infeksiøs dermatitt
L304;Intertriginøst erytem
L305;Pityriasis alba
L308;Annen spesifisert dermatitt
L309;Uspesifisert dermatitt
L400;Psoriasis vulgaris
L401;Generalisert pustuløs psoriasis
L402;Acrodermatitis continua
L403;Pustulosis palmaris et plantaris
L404;Guttat psoriasis
L405;Psoriasis med artropati (M07.0 -M07.3*, M09.0*)
L408;Annen spesifisert psoriasis
L409;Uspesifisert psoriasis
L410;Pityriasis lichenoides et varioliformis acuta
L411;Pityriasis lichenoides chronica
L413;"Parapsoriasis med små ""plaques"""
L414;"Parapsoriasis med store ""plaques"""
L415;Retiform parapsoriasis
L418;Annen spesifisert parapsoriasis
L419;Uspesifisert parapsoriasis
L42;Pityriasis rosea
L430;Hypertrofisk lichen ruber planus
L431;Bulløs lichen ruber planus
L432;Lichenoid legemiddelreaksjon
L433;Subakutt (aktiv) lichen ruber planus
L438;Annen spesifisert lichen ruber planus
L439;Uspesifisert lichen ruber planus
L440;Pityriasis rubra pilaris
L441;Lichen nitidus
L442;Lichen striatus
L443;Lichen ruber moniliformis
L444;Infantil papuløs akrodermatitt
L448;Andre spesifiserte papuloskvamøse lidelser
L449;Uspesifisert papuloskvamøs lidelse
L45;Papuloskvamøse lidelser ved sykdommer klass. annet sted
L500;Allergisk urticaria
L501;Idiopatisk urticaria
L502;Urticaria som skyldes kulde og varme
L503;Dermatografisk urticaria
L504;Vibrasjonsurticaria
L505;Cholinerg urticaria
L506;Kontakturticaria
L508;Annen spesifisert urticaria
L509;Uspesifisert urticaria
L510;Ikke-bulløst erythema multiforme
L511;Bulløst erythema multiforme
L512;Toksisk epidermal nekrolyse
L518;Annet spesifisert erythema multiforme
L519;Uspesifisert erythema multiforme
L52;Erythema nodosum
L530;Toksisk erytem
L531;Erythema annulare centrifugum
L532;Erythema marginatum
L533;Annet kronisk figurformet erytem
L538;Andre spesifiserte erytematøse tilstander
L539;Uspesifisert erytematøs tilstand
L540;Erythema marginatum ved giktfeber
L548;Erytem ved andre sykdommer klassifisert annet sted
L550;Solforbrenning av første grad
L551;Solforbrenning av andre grad
L552;Solforbrenning av tredje grad
L558;Annen spesifisert solforbrenning
L559;Uspesifisert solforbrenning
L560;Fototoksisk legemiddelreaksjon
L561;Fotoallergisk legemiddelreaksjon
L562;Fotokontaktdermatitt
L563;Solutløst urticaria
L564;Polymorf lyseksem
L568;A. spes. ak. hudforandr. som skyldes ultrafiolett stråling
L569;Uspes. akutt hudforandring som skyldes ultrafiolett stråling
L570;Aktinisk keratose
L571;Aktinisk retikuloid
L572;Cutis rhomboidalis nuchae
L573;Civattes poikiloderma
L574;Cutis laxa senilis
L575;Aktinisk granulom
L578;A. spes. hudforandr. s. sk. kr. eksp. for ikke-ion. stråling
L579;Uspes. hudforandr. s. sk. kr. eksp. for ikke-ion. stråling
L580;Akutt radiodermatitt
L581;Kronisk radiodermatitt
L589;Uspesifisert radiodermatitt
L590;Varmeerytem
L598;Andre spes. strålingsrelaterte lidelser i hud og underhud
L599;Uspesifisert strålingsrelatert lidelse i hud og underhud
L600;Inngrodd negl
L601;Onykolyse
L602;Onykogrypose
L603;Negledystrofi
L604;Beaus linjer
L605;Gule negler-syndrom
L608;Andre spesifiserte neglelidelser
L609;Uspesifisert neglelidelse
L620;"""Clubbing"" av negler ved pakydermoperiostose"
L628;Neglelidelser ved andre sykdommer klassifisert annet sted
L630;Alopecia (capitis) totalis
L631;Alopecia universalis
L632;Ophiasis
L638;Annen spesifisert flekkvis alopesi
L639;Uspesifisert flekkvis alopesi
L640;Legemiddelutløst androgen alopesi
L648;Annen spesifisert androgen alopesi
L649;Uspesifisert androgen alopesi
L650;Telogen effluvium
L651;Anagen effluvium
L652;Mucinøs alopesi
L658;Annet spesifisert hårtap uten arrdannelse
L659;Uspesifisert hårtap uten arrdannelse
L660;Pseudopelade
L661;Lichen planopilaris
L662;Folliculitis decalvans
L663;Perifolliculitis capitis abscedens
L664;Folliculitis ulerythematosa reticulata
L668;Annen spesifisert alopesi med arrdannelse
L669;Uspesifisert alopesi med arrdannelse
L670;Trichorrhexis nodosa
L671;Variasjoner i hårfarge
L678;Andre spesifiserte abnormiteter ved hårfarge og hårskaft
L679;Uspesifisert abnormitet ved hårfarge og hårskaft
L680;Hirsutisme
L681;Hypertrichosis lanuginosa acquisita
L682;Lokalisert hypertrikose
L683;Polytriki
L688;Annen spesifisert hypertrikose
L689;Uspesifisert hypertrikose
L700;Acne vulgaris
L701;Acne conglobata
L702;Acne varioliformis
L703;Acne tropica
L704;Infantil akne
L705;"""Acné excoriée"""
L708;Annen spesifisert akne
L709;Uspesifisert akne
L710;Perioral dermatitt
L711;Rinofyma
L718;Annen spesifisert rosacea
L719;Uspesifisert rosacea
L720;Epidermalcyste
L721;Retensjonscyste i talgkjertel eller hårsekk
L722;Steatocystoma multiplex
L728;Andre spesifiserte follikulære cyster i hud og underhud
L729;Uspesifisert follikulær cyste i hud og underhud
L730;Keloid akne
L731;Pseudofolliculitis barbae
L732;Purulent hidradenitt
L738;Andre spesifiserte follikkellidelser
L739;Uspesifisert follikkellidelse
L740;Miliaria rubra
L741;Miliaria crystallina
L742;Miliaria profunda
L743;Uspesifisert miliaria
L744;Anhidrose
L748;Andre spesifiserte lidelser i eksokrine svettekjertler
L749;Uspesifisert lidelse i eksokrine svettekjertler
L750;Bromhidrose
L751;Kromhidrose
L752;Apokrin miliaria
L758;Andre spesifiserte lidelser i apokrine svettekjertler
L759;Uspesifisert lidelse i apokrine svettekjertler
L80;Vitiligo
L810;Postinflammatorisk hyperpigmentering
L811;Kloasme
L812;Fregner
L813;"""Café-au-lait""-flekker"
L814;Annen melaninhyperpigmentering
L815;Leukodermi, ikke klassifisert annet sted
L816;Andre forstyrrelser med forminsket melanindannelse
L817;Pigmentert purpurisk dermatose
L818;Andre spesifiserte forstyrrelser i pigmentering
L819;Uspesifisert forstyrrelse i pigmentering
L82;Seboréisk keratose
L83;Acanthosis nigricans
L84;Liktorner og hornhud
L850;Ervervet iktyose
L851;Ervervet palmar og plantar keratose
L852;Keratosis punctata (palmaris et plantaris)
L853;Xerosis cutis
L858;Annen spesifisert epidermal fortykkelse
L859;Uspesifisert epidermal fortykkelse
L86;Keratoderma ved sykdommer klassifisert annet sted
L870;Keratosis follicularis et parafollicularis in cutem penetr.
L871;Reaktiv perforerende kollagenose
L872;Elastosis perforans serpiginosa
L878;Andre spes. forstyrrelser i transepidermal eliminasjon
L879;Uspesifisert forstyrrelse i transepidermal eliminasjon
L88;Pyoderma gangrenosum
L890;Dekubitalsår og trykkskade stadium I
L891;Dekubitalsår stadium II
L892;Dekubitalsår stadium III
L893;Dekubitalsår stadium IV
L899;Uspesifisert dekubitalsår og trykkskade
L900;Lichen sclerosus et atrophicus
L901;Schweninger-Buzzis anetodermi
L902;Jadassohn-Pellizzaris anetodermi
L903;Pasinis og Pierinis atrofodermi
L904;Atrofisk kronisk akrodermatitt
L905;Arrtilstander og fibrose i hud
L906;Striae atrophicae
L908;Andre spesifiserte atrofiske hudlidelser
L909;Uspesifisert atrofisk hudlidelse
L910;Hypertrofisk arr
L918;Andre spesifiserte hypertrofiske hudlidelser
L919;Uspesifisert hypertrofisk hudlidelse
L920;Granuloma annulare
L921;Lipoid nekrobiose, ikke klassifisert annet sted
L922;Ansiktsgranulom
L923;Fremmedlegemegranulom i hud og underhud
L928;Andre spesifiserte granulomatøse lidelser i hud og underhud
L929;Uspesifisert granulomatøs lidelse i hud og underhud
L930;Lupus erythematosus discoides
L931;Subakutt kutan lupus erythematosus
L932;Annen lokal lupus erythematosus
L940;Lokalisert skleroderma
L941;Lineær skleroderma
L942;Calcinosis cutis
L943;Sklerodaktyli
L944;Gottrons papler
L945;Atrofisk vaskulær poikiloderma
L946;Ainhum
L948;Andre spesifiserte lokaliserte bindevevssykdommer
L949;Uspesifisert lokalisert bindevevssykdom
L950;Livedoid vaskulitt
L951;Erythema elevatum diutinum
L958;Annen spesifisert vaskulitt begrenset til hud
L959;Uspesifisert vaskulitt begrenset til hud
L97;Sår på underekstremitet, ikke klassifisert annet sted
L980;Pyogent granulom
L981;Dermatitis factitia
L982;Febril nøytrofil dermatose
L983;Eosinofil cellulitt
L984;Kronisk hudsår, ikke klassifisert annet sted
L985;Hudmucinose
L986;Andre infiltrative lidelser i hud og underhud
L987;Mye eller overflødig hud og underhudsvev
L988;Andre spesifiserte lidelser i hud og underhud
L989;Uspesifisert lidelse i hud og underhud
L990;Hudamyloidose
L998;Andre spes. lid. i hud og underhud ved sykd. klass. a. sted
M000;Stafylokokkartritt og -polyartritt
M0000;"Stafartritt/polyartritt;flere lokalis"
M0001;"Stafartritt/polyartritt;skulderreg"
M0002;"Stafartritt/polyartritt;overarm/albue"
M0003;"Stafartritt/polyartritt;underarm/håndl"
M0004;"Stafartritt/polyartritt;hånd/fingre"
M0005;"Stafartritt/polyartritt;bekken/lår"
M0006;"Stafartritt/polyartritt;legg/kne"
M0007;"Stafartritt/polyartritt;ankel/fot/tå"
M0008;"Stafartritt/polyartritt;andre lokalis"
M0009;"Stafartritt/polyartritt;uspes lokalis"
M001;Pneumokokkartritt og -polyartritt
M0010;"Pneumok.artritt/polyartritt;flere lokalis"
M0011;"Pneumok.artritt/polyartritt;skulderreg"
M0012;"Pneumok.artritt/polyartritt;overarm/albue"
M0013;"Pneumok.artritt/polyartritt;underarm/håndl"
M0014;"Pneumok.artritt/polyartritt;hånd/fingre"
M0015;"Pneumok.artritt/polyartritt;bekken/lår"
M0016;"Pneumok.artritt/polyartritt;legg/kne"
M0017;"Pneumok.artritt/polyartritt;ankel/fot/tå"
M0018;"Pneumok.artritt/polyartritt;andre lokalis"
M0019;"Pneumok.artritt/polyartritt;uspes lokalis"
M002;Annen streptokokkartritt og -polyartritt
M0020;"Ann strept.artritt/polyartritt;flere lokalis"
M0021;"Ann strept.artritt/polyartritt;skulderreg"
M0022;"Ann strept.artritt/polyartritt;overarm/albue"
M0023;"Ann strept.artritt/polyartritt;underarm/håndl"
M0024;"Ann strept.artritt/polyartritt;hånd/fingre"
M0025;"Ann strept.artritt/polyartritt;bekken/lår"
M0026;"Ann strept.artritt/polyartritt;legg/kne"
M0027;"Ann strept.artritt/polyartritt;ankel/fot/tå"
M0028;"Ann strept.artritt/polyartritt;andre lokalis"
M0029;"Ann strept.artritt/polyartritt;uspes lokalis"
M008;Artritt og polyartritt s. sk. a. spes. bakt. mikroorganismer
M0080;"Artritt pga spes bakt/mikroorg;flere lokalis"
M0081;"Artritt pga spes bakt/mikroorg;skulderreg"
M0082;"Artritt pga spes bakt/mikroorg;overarm/albue"
M0083;"Artritt pga spes bakt/mikroorg;underarm/håndl"
M0084;"Artritt pga spes bakt/mikroorg;hånd/fingre"
M0085;"Artritt pga spes bakt/mikroorg;bekken/lår"
M0086;"Artritt pga spes bakt/mikroorg;legg/kne"
M0087;"Artritt pga spes bakt/mikroorg;ankel/fot/tå"
M0088;"Artritt pga spes bakt/mikroorg;andre lokalis"
M0089;"Artritt pga spes bakt/mikroorg;uspes lokalis"
M009;Uspesifisert pyogen artritt
M0090;"Uspesifisert pyogen artritt;flere lokalis"
M0091;"Uspesifisert pyogen artritt;skulderreg"
M0092;"Uspesifisert pyogen artritt;overarm/albue"
M0093;"Uspesifisert pyogen artritt;underarm/håndl"
M0094;"Uspesifisert pyogen artritt;hånd/fingre"
M0095;"Uspesifisert pyogen artritt;bekken/lår"
M0096;"Uspesifisert pyogen artritt;legg/kne"
M0097;"Uspesifisert pyogen artritt;ankel/fot/tå"
M0098;"Uspesifisert pyogen artritt;andre lokalis"
M0099;"Uspesifisert pyogen artritt;uspes lokalis"
M010;Meningokokkartritt
M0100;"Meningokokkartritt;flere lokalis"
M0101;"Meningokokkartritt;skulderreg"
M0102;"Meningokokkartritt;overarm/albue"
M0103;"Meningokokkartritt;underarm/håndl"
M0104;"Meningokokkartritt;hånd/fingre"
M0105;"Meningokokkartritt;bekken/lår"
M0106;"Meningokokkartritt;legg/kne"
M0107;"Meningokokkartritt;ankel/fot/tå"
M0108;"Meningokokkartritt;andre lokalis"
M0109;"Meningokokkartritt;uspes lokalis"
M011;Tuberkuløs artritt
M0110;"Tuberkuløs artritt ;flere lokalis"
M0111;"Tuberkuløs artritt ;skulderreg"
M0112;"Tuberkuløs artritt ;overarm/albue"
M0113;"Tuberkuløs artritt ;underarm/håndl"
M0114;"Tuberkuløs artritt ;hånd/fingre"
M0115;"Tuberkuløs artritt ;bekken/lår"
M0116;"Tuberkuløs artritt ;legg/kne"
M0117;"Tuberkuløs artritt ;ankel/fot/tå"
M0118;"Tuberkuløs artritt ;andre lokalis"
M0119;"Tuberkuløs artritt ;uspes lokalis"
M012;Artritt ved borreliose
M0120;"Artritt ved borreliose ;flere lokalis"
M0121;"Artritt ved borreliose ;skulderreg"
M0122;"Artritt ved borreliose ;overarm/albue"
M0123;"Artritt ved borreliose ;underarm/håndl"
M0124;"Artritt ved borreliose ;hånd/fingre"
M0125;"Artritt ved borreliose ;bekken/lår"
M0126;"Artritt ved borreliose ;legg/kne"
M0127;"Artritt ved borreliose ;ankel/fot/tå"
M0128;"Artritt ved borreliose ;andre lokalis"
M0129;"Artritt ved borreliose ;uspes lokalis"
M013;Artritt ved andre bakteriesykdommer klassifisert annet sted
M0130;"Artritt v/andre baktsykd KAS;flere lokalis"
M0131;"Artritt v/andre baktsykd KAS;skulderreg"
M0132;"Artritt v/andre baktsykd KAS;overarm/albue"
M0133;"Artritt v/andre baktsykd KAS;underarm/håndl"
M0134;"Artritt v/andre baktsykd KAS;hånd/fingre"
M0135;"Artritt v/andre baktsykd KAS;bekken/lår"
M0136;"Artritt v/andre baktsykd KAS;legg/kne"
M0137;"Artritt v/andre baktsykd KAS;ankel/fot/tå"
M0138;"Artritt v/andre baktsykd KAS;andre lokalis"
M0139;"Artritt v/andre baktsykd KAS;uspes lokalis"
M014;Rubella-artritt
M0140;"Rubella-artritt ;flere lokalis"
M0141;"Rubella-artritt ;skulderreg"
M0142;"Rubella-artritt ;overarm/albue"
M0143;"Rubella-artritt ;underarm/håndl"
M0144;"Rubella-artritt ;hånd/fingre"
M0145;"Rubella-artritt ;bekken/lår"
M0146;"Rubella-artritt ;legg/kne"
M0147;"Rubella-artritt ;ankel/fot/tå"
M0148;"Rubella-artritt ;andre lokalis"
M0149;"Rubella-artritt ;uspes lokalis"
M015;Artritt ved andre virussykdommer klassifisert annet sted
M0150;"Artritt v/andre virussykd KAS;flere lokalis"
M0151;"Artritt v/andre virussykd KAS;skulderreg"
M0152;"Artritt v/andre virussykd KAS;overarm/albue"
M0153;"Artritt v/andre virussykd KAS;underarm/håndl"
M0154;"Artritt v/andre virussykd KAS;hånd/fingre"
M0155;"Artritt v/andre virussykd KAS;bekken/lår"
M0156;"Artritt v/andre virussykd KAS;legg/kne"
M0157;"Artritt v/andre virussykd KAS;ankel/fot/tå"
M0158;"Artritt v/andre virussykd KAS;andre lokalis"
M0159;"Artritt v/andre virussykd KAS;uspes lokalis"
M016;Artritt ved soppsykdommer
M0160;"Artritt ved soppsykd;flere lokalis"
M0161;"Artritt ved soppsykd;skulderreg"
M0162;"Artritt ved soppsykd;overarm/albue"
M0163;"Artritt ved soppsykd;underarm/håndl"
M0164;"Artritt ved soppsykd;hånd/fingre"
M0165;"Artritt ved soppsykd;bekken/lår"
M0166;"Artritt ved soppsykd;legg/kne"
M0167;"Artritt ved soppsykd;ankel/fot/tå"
M0168;"Artritt ved soppsykd;andre lokalis"
M0169;"Artritt ved soppsykd;uspes lokalis"
M018;Artritt ved andre infek.- og paras.sykd. klass. annet sted
M0180;"Artritt v/and inf/paras sykd KAS;flere lokalis"
M0181;"Artritt v/and inf/paras sykd KAS;skulderreg"
M0182;"Artritt v/and inf/paras sykd KAS;overarm/albue"
M0183;"Artritt v/and inf/paras sykd KAS;underarm/håndl"
M0184;"Artritt v/and inf/paras sykd KAS;hånd/fingre"
M0185;"Artritt v/and inf/paras sykd KAS;bekken/lår"
M0186;"Artritt v/and inf/paras sykd KAS;legg/kne"
