ICPC2B_ICD10_Kode;ICPC2_Kode;ICPC2B_tekst;icpc2_Kap;icpc2_type;ICPC2B_kode
S651;A80;Skade på arteria radialis i håndledds- eller håndregion;A;2;A800081
S551;A80;Skade på arteria radialis i underarmsregion;A;2;A800082
S851;A80;Skade på arteria tibialis anterior eller posterior;A;2;A800083
S650;A80;Skade på arteria ulnaris i håndledds- eller håndregion;A;2;A800084
S550;A80;Skade på arteria ulnaris i underarmsregion;A;2;A800085
S151;A80;Skade på arteria vertebralis;A;2;A800086
S355;A80;Skade på bekkenkar;A;2;A800087
S655;A80;Skade på blodkar i en annen finger;A;2;A800088
S654;A80;Skade på blodkar i tommel;A;2;A800089
S653;A80;Skade på dyp arteriebue i håndflate;A;2;A800090
S957;A80;Skade på flere blodkar i ankel eller fot;A;2;A800091
S257;A80;Skade på flere blodkar i brystkasse;A;2;A800092
S357;A80;Skade på flere blodkar i bukregion, nedre del rygg eller bekkenregion;A;2;A800093
S157;A80;Skade på flere blodkar i halsregion;A;2;A800094
S757;A80;Skade på flere blodkar i hofte- eller lårregion;A;2;A800095
S657;A80;Skade på flere blodkar i håndledds- eller håndregion;A;2;A800096
S857;A80;Skade på flere blodkar i legg;A;2;A800097
S457;A80;Skade på flere blodkar i skulder- eller overarmsregion;A;2;A800098
S557;A80;Skade på flere blodkar i underarmsregion;A;2;A800099
S255;A80;Skade på interkostalkar;A;2;A800100
S254;A80;Skade på lungekar;A;2;A800101
S354;A80;Skade på nyrekar;A;2;A800102
S652;A80;Skade på overfladisk arteriebue i håndflate;A;2;A800103
S453;A80;Skade på overfladisk vene i skulder- eller overarmsregion;A;2;A800104
S250;A80;Skade på torakaldel av aorta;A;2;A800105
S251;A80;Skade på truncus brachiocephalicus eller arteria subclavia;A;2;A800106
S3791;A80;Skade på uspesifisert bekkenorgan med åpent sår til hulrom;A;2;A800107
S3790;A80;Skade på uspesifisert bekkenorgan uten åpent sår til hulrom;A;2;A800108
T094;A80;Skade på uspesifisert nerve, ryggmargsnerverot eller nervepleksus i trunkus;A;2;A800109
S452;A80;Skade på vena axillaris eller vena brachialis;A;2;A800110
S253;A80;Skade på vena brachiocephalica eller vena subclavia;A;2;A800111
S351;A80;Skade på vena cava inferior;A;2;A800112
S252;A80;Skade på vena cava superior;A;2;A800113
S751;A80;Skade på vena femoralis i hofte- eller lårregion;A;2;A800114
S152;A80;Skade på vena jugularis externa;A;2;A800115
S153;A80;Skade på vena jugularis interna;A;2;A800116
S855;A80;Skade på vena poplitea;A;2;A800117
S353;A80;Skade på vena portae eller vena lienalis;A;2;A800118
S752;A80;Skade på vena saphena magna i hofte- eller lårregion;A;2;A800119
S853;A80;Skade på vena saphena magna i legg;A;2;A800120
S854;A80;Skade på vena saphena parva i legg;A;2;A800121
S552;A80;Skade på vene i underarmsregion;A;2;A800122
S952;A80;Skade på vene på fotrygg;A;2;A800123
S383;A80;Traumatisk amputasjon av annen eller uspesifisert del av buk, nedre del av rygg eller bekken;A;2;A800124
T096;A80;Traumatisk amputasjon av uspesifisert del av trunkus;A;2;A800125
S2721;A80;Traumatisk hemopneumotoraks med åpent sår til brysthule;A;2;A800126
S2720;A80;Traumatisk hemopneumotoraks uten åpent sår til brysthule;A;2;A800127
S2711;A80;Traumatisk hemotoraks med åpent sår til brysthule;A;2;A800128
S2710;A80;Traumatisk hemotoraks uten åpent sår til brysthule;A;2;A800129
S270;A80;Traumatisk pneumotoraks;A;2;A800130
S2701;A80;Traumatisk pneumotoraks med åpent sår til brysthule;A;2;A800131
S2700;A80;Traumatisk pneumotoraks uten åpent sår til brysthule;A;2;A800132
S2691;A80;Uspesifisert skade i hjerte med åpent sår til brysthule;A;2;A800133
S2690;A80;Uspesifisert skade i hjerte uten åpent sår til brysthule;A;2;A800134
S218;A80;Åpent sår i annen spesifisert del av brystkasse;A;2;A800135
S210;A80;Åpent sår i eller på bryst;A;2;A800136
T091;A80;Åpent sår i uspesifisert del av  trunkus;A;2;A800137
S118;A80;Åpent sår på annen spesifisert del av hals;A;2;A800138
S212;A80;Åpent sår på bakside av brystkasse;A;2;A800139
S211;A80;Åpent sår på fremside av brystkasse;A;2;A800140
S111;A80;Åpent sår som omfatter skjoldbruskkjertel;A;2;A800141
S110;A80;Åpent sår som omfatter strupehode eller luftrør;A;2;A800142
S112;A80;Åpent sår som omfatter svelg eller cervikaldel av spiserør;A;2;A800143
T07;A81;Multiple skader/traumer;A;2;A810000
T059;A81;Amputasjon traumatisk flere;A;2;A810001
T290;A81;Brannskade flere regioner;A;2;A810002
T029;A81;Brudd flere;A;2;A810003
T029;A81;Brudd multiple/flere kroppsdeler;A;2;A810004
T039;A81;Dislokasjon flere ledd;A;2;A810005
T295;A81;Etseskade flere regioner;A;2;A810006
T039;A81;Forstuving/forstrekking flere ledd;A;2;A810007
T049;A81;Knusningsskade flere steder;A;2;A810008
T07;A81;Multiple indre skader IKA;A;2;A810009
T009;A81;Overflateskade flere;A;2;A810010
S367;A81;Skade abdomen flere indre organer;A;2;A810011
S377;A81;Skade bekken flere indre organer;A;2;A810012
S399;A81;Skade buk/bekken flere organer;A;2;A810013
T07;A81;Skade flere INA;A;2;A810014
T07;A81;Skade flere trafikkulykke;A;2;A810015
S317;A81;Åpent sår buk/bekken flere;A;2;A810016
T019;A81;Åpent sår flere;A;2;A810017
T068;A81;Andre spesifiserte skader som omfatter flere kroppsregioner;A;2;A810018
S398;A81;Annen spesifisert skade i buk, nedre del av rygg eller bekken;A;2;A810019
S298;A81;Annen spesifisert skade i eller på brystkasse;A;2;A810020
S198;A81;Annen spesifisert skade i halsregion;A;2;A810021
T292;A81;Brannskade i flere regioner hvorav ingen mer enn av andre grad;A;2;A810022
T291;A81;Brannskade i flere regioner hvorav ingen mer enn av første grad;A;2;A810023
T293;A81;Brannskade i flere regioner hvorav minst én av tredje grad;A;2;A810024
T028;A81;Brudd som omfatter andre spesifiserte kombinasjoner av kroppsregioner;A;2;A810025
T027;A81;Brudd som omfatter brystkasse med nedre del av rygg eller bekken med ekstremiteter;A;2;A810026
T021;A81;Brudd som omfatter brystkasse med nedre del rygg eller bekken;A;2;A810027
T024;A81;Brudd som omfatter flere regioner av begge overekstremiteter;A;2;A810028
T025;A81;Brudd som omfatter flere regioner av begge underekstremiteter;A;2;A810029
T022;A81;Brudd som omfatter flere regioner av en overekstremitet;A;2;A810030
T023;A81;Brudd som omfatter flere regioner av en underekstremitet;A;2;A810031
T026;A81;Brudd som omfatter flere regioner av overekstremiteter med underekstremiteter;A;2;A810032
T020;A81;Brudd som omfatter hode med hals;A;2;A810033
T038;A81;Dislokasjoner, forstuvinger eller forstrekkinger som omfatter andre spesifiserte kombinasjoner av kroppsregioner;A;2;A810034
T031;A81;Dislokasjoner, forstuvinger eller forstrekkinger som omfatter brystkasse med nedre del av rygg eller bekken;A;2;A810035
T032;A81;Dislokasjoner, forstuvinger eller forstrekkinger som omfatter flere regioner av en eller begge overekstremiteter;A;2;A810036
T033;A81;Dislokasjoner, forstuvinger eller forstrekkinger som omfatter flere regioner av en eller begge underekstremiteter;A;2;A810037
T034;A81;Dislokasjoner, forstuvinger eller forstrekkinger som omfatter flere regioner av overekstremiteter med underekstremiteter;A;2;A810038
T030;A81;Dislokasjoner, forstuvinger eller forstrekkinger som omfatter hode med hals;A;2;A810039
T294;A81;Etseskade av uspesifisert grad i flere regioner;A;2;A810040
T296;A81;Etseskade i flere regioner hvorav ingen mer enn av andre grad;A;2;A810041
T297;A81;Etseskade i flere regioner hvorav minst én av tredje grad;A;2;A810042
T0290;A81;Flere lukkede uspesifiserte brudd;A;2;A810043
S297;A81;Flere skader i brystkasse;A;2;A810044
S397;A81;Flere skader i buk, nedre del av rygg eller bekken;A;2;A810045
S197;A81;Flere skader i halsregion;A;2;A810046
T0291;A81;Flere åpne uspesifiserte brudd;A;2;A810047
S178;A81;Knusningsskade i annen spesifisert del av hals;A;2;A810048
S170;A81;Knusningsskade i strupehode eller luftrør;A;2;A810049
S179;A81;Knusningsskade i uspesifisert del av hals;A;2;A810050
T048;A81;Knusningsskader som omfatter andre spesifiserte kombinasjoner av kroppsregioner;A;2;A810051
T041;A81;Knusningsskader som omfatter brystkasse med buk, nedre del av rygg eller bekken;A;2;A810052
T047;A81;Knusningsskader som omfatter brystkasse med buk, nedre del av rygg eller bekken med ekstremiteter;A;2;A810053
T042;A81;Knusningsskader som omfatter flere regioner av en eller begge overekstremiteter;A;2;A810054
T043;A81;Knusningsskader som omfatter flere regioner av en eller begge underekstremiteter;A;2;A810055
T044;A81;Knusningsskader som omfatter flere regioner av overekstremiteter med underekstremiteter;A;2;A810056
T040;A81;Knusningsskader som omfatter hode med hals;A;2;A810057
T0280;A81;Lukkede brudd som omfatter andre spesifiserte kombinasjoner av kroppsregioner;A;2;A810058
T0210;A81;Lukkede brudd som omfatter brystkasse med nedre del av rygg eller bekken;A;2;A810059
T0270;A81;Lukkede brudd som omfatter brystkasse med nedre del av rygg eller bekken med ekstremiteter;A;2;A810060
T0240;A81;Lukkede brudd som omfatter flere regioner av begge overekstremiteter;A;2;A810061
T0250;A81;Lukkede brudd som omfatter flere regioner av begge underekstremiteter;A;2;A810062
T0220;A81;Lukkede brudd som omfatter flere regioner av en overekstremitet;A;2;A810063
T0230;A81;Lukkede brudd som omfatter flere regioner av en underekstremitet;A;2;A810064
T0260;A81;Lukkede brudd som omfatter flere regioner av overekstremiteter med underekstremiteter;A;2;A810065
T0200;A81;Lukkede brudd som omfatter hode med hals;A;2;A810066
T008;A81;Overflateskader som omfatter andre spesifiserte kombinasjoner av kroppsregioner;A;2;A810067
T001;A81;Overflateskader som omfatter brystkasse med buk, nedre del av rygg eller bekken;A;2;A810068
T002;A81;Overflateskader som omfatter flere regioner av en eller begge overekstremiteter;A;2;A810069
T003;A81;Overflateskader som omfatter flere regioner av en eller begge underekstremiteter;A;2;A810070
T006;A81;Overflateskader som omfatter flere regioner av overekstremiteter med underekstremiteter;A;2;A810071
T000;A81;Overflateskader som omfatter hode med hals;A;2;A810072
S290;A81;Skade i muskel eller sene i brystregion;A;2;A810073
S3781;A81;Skade på annet spesifisert  bekkenorgan med åpent sår til hulrom;A;2;A810074
S378;A81;Skade på annet spesifisert bekkenorgan;A;2;A810075
S3780;A81;Skade på annet spesifisert bekkenorgan uten åpent sår til hulrom;A;2;A810076
S368;A81;Skade på annet spesifisert organ i bukhule;A;2;A810077
S3681;A81;Skade på annet spesifisert organ i bukhule med åpent sår til bukhule;A;2;A810078
S3680;A81;Skade på annet spesifisert organ i bukhule uten åpent sår til bukhule;A;2;A810079
S3771;A81;Skade på flere bekkenorganer med åpent sår til hulrom;A;2;A810080
S3770;A81;Skade på flere bekkenorganer uten åpent sår til hulrom;A;2;A810081
S3670;A81;Skade på flere organer i bukhule uten åpent sår til bukhule;A;2;A810082
S3671;A81;Skade på flere organer i bukhule med åpent sår til bukhule;A;2;A810083
S396;A81;Skade på organ i bukhule eller bekken;A;2;A810084
T065;A81;Skader i intratorakale organer med skade i organer i bukhule eller bekkenorganer;A;2;A810085
T052;A81;Traumatisk amputasjon av begge armer;A;2;A810086
T055;A81;Traumatisk amputasjon av begge ben;A;2;A810087
T053;A81;Traumatisk amputasjon av begge føtter;A;2;A810088
T050;A81;Traumatisk amputasjon av begge hender;A;2;A810089
S281;A81;Traumatisk amputasjon av del av brystkasse;A;2;A810090
T054;A81;Traumatisk amputasjon av en fot og større deler av andre ben ovenfor forregionen;A;2;A810091
T051;A81;Traumatisk amputasjon av en hånd og større deler av andre arm ovenfor håndregionen;A;2;A810092
S18;A81;Traumatisk amputasjon på halsnivå;A;2;A810093
T058;A81;Traumatisk amputasjon som omfatter andre spesifiserte kombinasjoner av kroppsregioner;A;2;A810094
T056;A81;Traumatisk amputasjon som omfatter kombinasjoner av over- og underekstremiteter;A;2;A810095
T0281;A81;Åpne brudd som omfatter andre spesifiserte kombinasjoner av kroppsregioner;A;2;A810096
T0211;A81;Åpne brudd som omfatter brystkasse med nedre del av rygg eller bekken;A;2;A810097
T0271;A81;Åpne brudd som omfatter brystkasse med nedre del av rygg og bekken med ekstremiteter;A;2;A810098
T0241;A81;Åpne brudd som omfatter flere regioner av begge overekstremiteter;A;2;A810099
T0251;A81;Åpne brudd som omfatter flere regioner av begge underekstremiteter;A;2;A810100
T0221;A81;Åpne brudd som omfatter flere regioner av en overekstremitet;A;2;A810101
T0231;A81;Åpne brudd som omfatter flere regioner av en underekstremitet;A;2;A810102
T0261;A81;Åpne brudd som omfatter flere regioner av overekstremiteter med underekstremiteter;A;2;A810103
T0201;A81;Åpne brudd som omfatter hode med hals;A;2;A810104
T018;A81;Åpne sår som omfatter andre spesifiserte kombinasjoner av kroppsregioner;A;2;A810105
T011;A81;Åpne sår som omfatter brystkasse med buk, nedre del rygg og bekken;A;2;A810106
T012;A81;Åpne sår som omfatter flere regioner av en eller begge overekstremiteter;A;2;A810107
T013;A81;Åpne sår som omfatter flere regioner av en eller begge underekstremiteter;A;2;A810108
T010;A81;Åpne sår som omfatter hode med hals;A;2;A810109
T016;A81;Åpne sår sår omfatter flere regioner av overekstermiteter med underekstremiteter;A;2;A810110
T941;A82;Følgetilstand etter skade/traume;A;2;A820000
T795;A82;Anuri traumatisk;A;2;A820001
T792;A82;Blødning sekundær traumatisk;A;2;A820002
T791;A82;Fettemboli traumatisk;A;2;A820003
T959;A82;Følgetilstand brannskade;A;2;A820004
T932;A82;Følgetilstand brudd ankel;A;2;A820005
T902;A82;Følgetilstand brudd ansikt;A;2;A820006
T921;A82;Følgetilstand brudd arm;A;2;A820007
T912;A82;Følgetilstand brudd bekken;A;2;A820008
T922;A82;Følgetilstand brudd hånd/håndledd;A;2;A820009
T941;A82;Følgetilstand brudd INA;A;2;A820010
T932;A82;Følgetilstand brudd legg;A;2;A820011
T931;A82;Følgetilstand brudd lårben;A;2;A820012
T911;A82;Følgetilstand brudd ryggsøyle;A;2;A820013
T902;A82;Følgetilstand brudd skalle;A;2;A820014
T912;A82;Følgetilstand brudd toraks;A;2;A820015
T959;A82;Følgetilstand etseskade;A;2;A820016
T959;A82;Følgetilstand frostskade;A;2;A820017
T909;A82;Følgetilstand hodeskade;A;2;A820018
T983;A82;Følgetilstand kirurgisk/medisinsk behandling;A;2;A820019
T918;A82;Følgetilstand nakkeslengskade;A;2;A820020
T941;A82;Følgetilstand nerveskade;A;2;A820021
T941;A82;Følgetilstand overflateskade;A;2;A820022
T913;A82;Følgetilstand ryggmargsskade;A;2;A820023
T929;A82;Følgetilstand skade overekstremitet;A;2;A820024
T939;A82;Følgetilstand skade underekstremitet;A;2;A820025
T799;A82;Følgetilstand traume/skade INA;A;2;A820026
T941;A82;Følgetilstand åpent sår;A;2;A820027
T790;A82;Luftemboli traumatisk;A;2;A820028
T918;A82;Nakkeslengsyndrom langvarig/kronisk;A;2;A820029
T794;A82;Sjokk traumatisk;A;2;A820030
T798;A82;Annen spesifisert tidlig komplikasjon til traume;A;2;A820031
T981;A82;Følgetilstand etter annen eller uspesifisert ytre påvirkning;A;2;A820032
T958;A82;Følgetilstand etter annen spesifisert brannskade, etseskade eller frostskade;A;2;A820033
T908;A82;Følgetilstand etter annen spesifisert hodeskade;A;2;A820034
T928;A82;Følgetilstand etter annen spesifisert skade i overekstremitet;A;2;A820035
T938;A82;Følgetilstand etter annen spesifisert skader i underekstremitet;A;2;A820036
T982;A82;Følgetilstand etter annen tidlig komplikasjon til traume;A;2;A820037
T954;A82;Følgetilstand etter brannskade eller etseskade som kun kan klassifiseres etter størrelse på berørt kroppsoverflate;A;2;A820038
T950;A82;Følgetilstand etter brannskade, etseskade eller frostskade på hode eller hals;A;2;A820039
T952;A82;Følgetilstand etter brannskade, etseskade eller frostskade på overekstremitet;A;2;A820040
T951;A82;Følgetilstand etter brannskade, etseskade eller frostskade på trunkus;A;2;A820041
T953;A82;Følgetilstand etter brannskade, etseskade eller frostskade på underekstremitet;A;2;A820042
T923;A82;Følgetilstand etter dislokasjon, forstuving eller forstrekking av overekstremitet;A;2;A820043
T933;A82;Følgetilstand etter dislokasjon, forstuving eller forstrekking av underekstremitet;A;2;A820044
T96;A82;Følgetilstand etter forgiftning med legemiddel eller biologiske substans;A;2;A820045
T980;A82;Følgetilstand etter fremmedlegeme som har trengt inn gjennom naturlig åpning;A;2;A820046
T905;A82;Følgetilstand etter intrakraniell skade;A;2;A820047
T926;A82;Følgetilstand etter knusningsskade eller traumatisk amputasjon av overekstremitet;A;2;A820048
T936;A82;Følgetilstand etter knusningsskade eller traumatisk amputasjon av underekstremitet;A;2;A820049
T910;A82;Følgetilstand etter overflateskade eller åpent sår på hals eller trunkus;A;2;A820050
T900;A82;Følgetilstand etter overflateskade på hode;A;2;A820051
T914;A82;Følgetilstand etter skade i intratorakalt organ;A;2;A820052
T925;A82;Følgetilstand etter skade i muskel eller sene i overekstremitet;A;2;A820053
T935;A82;Følgetilstand etter skade i muskel eller sene i underekstremitet;A;2;A820054
T915;A82;Følgetilstand etter skade i organ i bukhule eller bekken;A;2;A820055
T903;A82;Følgetilstand etter skade på hjernenerve;A;2;A820056
T924;A82;Følgetilstand etter skade på nerve i overekstremitet;A;2;A820057
T934;A82;Følgetilstand etter skade på nerve i underekstremitet;A;2;A820058
T904;A82;Følgetilstand etter skade på øye eller øyehule;A;2;A820059
T940;A82;Følgetilstand etter skade som omfatter flere kroppsregioner;A;2;A820060
T97;A82;Følgetilstand etter toksisk virkning av substans med hovedsakelig ikke-medisinsk anvendelse;A;2;A820061
T919;A82;Følgetilstand etter uspesifisert skade på hals eller trunkus;A;2;A820062
T901;A82;Følgetilstand etter åpent sår i hode;A;2;A820063
T920;A82;Følgetilstand etter åpent sår på overekstremitet;A;2;A820064
T930;A82;Følgetilstand etter åpent sår på underekstremitet;A;2;A820065
T797;A82;Traumatisk subkutant emfysem;A;2;A820066
T509;A84;Legemiddelforgiftning;A;2;A840000
T509;A84;Intoksikasjon legemiddel;A;2;A840001
T509;A84;Legemiddel overdose;A;2;A840002
T509;A84;Toksisk virkning av overdose legemiddel;A;2;A840003
T411;A84;Forgiftning med anestetikum gitt parenteralt;A;2;A840004
T412;A84;Forgiftning med annet og uspesifisert generelt anestetikum;A;2;A840005
T508;A84;Forgiftning med diagnostisk middel;A;2;A840006
T410;A84;Forgiftning med inhalasjonsanestetikum;A;2;A840007
T413;A84;Forgiftning med lokalanestetikum;A;2;A840008
T415;A84;Forgiftning med terapeutisk gass;A;2;A840009
T4n;A84;Forgiftning med terapeutisk legemiddel eller biologisk substans;A;2;A840010
T414;A84;Forgiftning med uspesifisert anestetikum;A;2;A840011
T888;A85;Bivirkning av legemiddel;A;2;A850000
T886;A85;Anafylaktisk sjokk legemiddelbivirk;A;2;A850001
T888;A85;Bivirkning legemiddel allergi;A;2;A850002
D611;A85;Bivirkning legemiddel aplastisk anemi;A;2;A850003
G444;A85;Bivirkning legemiddel hodepine;A;2;A850004
L271;A85;Bivirkning legemiddel hudutslett lokalt;A;2;A850005
L270;A85;Bivirkning legemiddel hudutslett;A;2;A850006
I952;A85;Bivirkning legemiddel hypotensjon;A;2;A850007
T888;A85;Bivirkning legemiddel idiosynkrasi;A;2;A850008
T888;A85;Bivirkning legemiddel overfølsomhet;A;2;A850009
T888;A85;Bivirkninger/allergi/anafylaksi av legemiddel gitt i korrekt dose;A;2;A850010
T888;A85;Legemiddelhypersensivitet INA;A;2;A850011
T888;A85;Legemiddelreaksjon INA;A;2;A850012
T659;A86;Toksisk virkning av ikke-medisinsk stoff;A;2;A860000
T659;A86;Forgiftning INA;A;2;A860001
T58;A86;Generell/lokal giftig effekt av kullos/karbonmonoksid;A;2;A860002
T622;A86;Giftige dyr/insekter/planter/slanger;A;2;A860003
T64;A86;Toksisk virkning aflatoksin/mykotoksin;A;2;A860004
T519;A86;Toksisk virkning alkohol;A;2;A860005
T560;A86;Toksisk virkning bly;A;2;A860006
T621;A86;Toksisk virkning bær;A;2;A860007
T639;A86;Toksisk virkning dyregift IKA;A;2;A860008
T549;A86;Toksisk virkning etsende stoff;A;2;A860009
T599;A86;Toksisk virkning gass/damp;A;2;A860010
T630;A86;Toksisk virkning huggormbitt;A;2;A860011
T58;A86;Toksisk virkning karbonmonoksid;A;2;A860012
T659;A86;Toksisk virkning kjemikalier INA;A;2;A860013
T529;A86;Toksisk virkning løsemiddel;A;2;A860014
T569;A86;Toksisk virkning metall;A;2;A860015
T609;A86;Toksisk virkning pesticid;A;2;A860016
T622;A86;Toksisk virkning plante;A;2;A860017
T55;A86;Toksisk virkning renholdsmiddel;A;2;A860018
T599;A86;Toksisk virkning røyk;A;2;A860019
T619;A86;Toksisk virkning sjømat/fisk;A;2;A860020
T620;A86;Toksisk virkning sopp;A;2;A860021
T659;A86;Toksisk virkning stoff INA;A;2;A860022
T569;A86;Tungmetaller;A;2;A860023
T612;A86;Annen fiske- eller skalldyrforgiftning;A;2;A860024
D612;A86;Aplastisk anemi som skyldes annen ytre faktor;A;2;A860025
T611;A86;Forgiftning med makrellfisk;A;2;A860026
D642;A86;Sekundær sideroblastanemi som skyldes legemiddel eller toksin;A;2;A860027
T512;A86;Toksisk virkning av 2-Propanol;A;2;A860028
T541;A86;Toksisk virkning av annen etsende organisk forbindelse;A;2;A860029
T598;A86;Toksisk virkning av annen spesifisert gass, røyk eller damp;A;2;A860030
T618;A86;Toksisk virkning av annen spesifisert sjømat;A;2;A860031
T537;A86;Toksisk virkning av annet halogenderivat av aromatisk hydrokarbon;A;2;A860032
T536;A86;Toksisk virkning av annet halogendervivat av alifatisk hydrokarbon;A;2;A860033
T602;A86;Toksisk virkning av andre og uspesifiserte insekticider;A;2;A860034
T518;A86;Toksisk virkning av annet spesifisert alkohol;A;2;A860035
T568;A86;Toksisk virkning av annet spesifisert metall;A;2;A860036
T528;A86;Toksisk virkning av annet spesifisert organiske løsemiddel;A;2;A860037
T608;A86;Toksisk virkning av annet spesifisert pesticid;A;2;A860038
T628;A86;Toksisk virkning av annet spesifisert skadelig stoff spist som mat;A;2;A860039
T658;A86;Toksisk virkning av annet spesifisert stoff;A;2;A860040
T578;A86;Toksisk virkning av annet spesifisert uorganisk stoff;A;2;A860041
T570;A86;Toksisk virkning av arsen eller arsenforbindelse;A;2;A860042
T521;A86;Toksisk virkning av benzen;A;2;A860043
T522;A86;Toksisk virkning av benzenhomolog;A;2;A860044
T567;A86;Toksisk virkning av beryllium eller berylliumforbindelse;A;2;A860045
T610;A86;Toksisk virkning av ciguatera;A;2;A860046
T650;A86;Toksisk virkning av cyanid;A;2;A860047
T534;A86;Toksisk virkning av diklormetan;A;2;A860048
T633;A86;Toksisk virkning av edderkoppgift;A;2;A860049
T510;A86;Toksisk virkning av etanol;A;2;A860050
T543;A86;Toksisk virkning av etsende alkalie eller alkalielignende stoff;A;2;A860051
T542;A86;Toksisk virkning av etsende syre eller syrelignende stoff;A;2;A860052
T540;A86;Toksisk virkning av fenol eller fenolhomolog;A;2;A860053
T595;A86;Toksisk virkning av fluorgass eller flussyre;A;2;A860054
T592;A86;Toksisk virkning av formaldehyd;A;2;A860055
T571;A86;Toksisk virkning av fosfor eller fosforforbindelse;A;2;A860056
T513;A86;Toksisk virkning av fuselolje;A;2;A860057
T631;A86;Toksisk virkning av gift fra andre krypdyr;A;2;A860058
T634;A86;Toksisk virkning av gift fra annen artropod;A;2;A860059
T523;A86;Toksisk virkning av glykol;A;2;A860060
T601;A86;Toksisk virkning av halogenert insekticid;A;2;A860061
T603;A86;Toksisk virkning av herbicid eller fungicid;A;2;A860062
T573;A86;Toksisk virkning av hydrogencyanid;A;2;A860063
T596;A86;Toksisk virkning av hydrogensulfid;A;2;A860064
T600;A86;Toksisk virkning av insekticid med organofosfat eller karbamat;A;2;A860065
T563;A86;Toksisk virkning av kadmium eller kadmiumforbindelse;A;2;A860066
T597;A86;Toksisk virkning av karbondioksid;A;2;A860067
T654;A86;Toksisk virkning av karbondisulfid;A;2;A860068
T530;A86;Toksisk virkning av karbontetraklorid;A;2;A860069
T524;A86;Toksisk virkning av keton;A;2;A860070
T535;A86;Toksisk virkning av klorfluorkarboner (KFK);A;2;A860071
T594;A86;Toksisk virkning av klorgass;A;2;A860072
T531;A86;Toksisk virkning av kloroform;A;2;A860073
T636;A86;Toksisk virkning av kontakt med annet sjødyr;A;2;A860074
T638;A86;Toksisk virkning av kontakt med annet spesifisert giftig dyr;A;2;A860075
T635;A86;Toksisk virkning av kontakt med fisk;A;2;A860076
T564;A86;Toksisk virkning av kopper eller kopperforbindelse;A;2;A860077
T562;A86;Toksisk virkning av krom eller kromforbindelse;A;2;A860078
T561;A86;Toksisk virkning av kvikksølv eller kvikksølvforbindelse;A;2;A860079
T593;A86;Toksisk virkning av lakrimogen gass;A;2;A860080
T656;A86;Toksisk virkning av maling eller fargestoff, ikke klassifisert annet sted;A;2;A860081
T572;A86;Toksisk virkning av mangan eller manganforbindelse;A;2;A860082
T511;A86;Toksisk virkning av metanol;A;2;A860083
T653;A86;Toksisk virkning av nitroderivater eller aminoderivater av benzen eller dets homologer;A;2;A860084
T590;A86;Toksisk virkning av nitrogenoksid;A;2;A860085
T655;A86;Toksisk virkning av nitroglyserin eller andre nitrogensyrer eller -estere;A;2;A860086
T520;A86;Toksisk virkning av petroleumsprodukt;A;2;A860087
T604;A86;Toksisk virkning av rodenticid;A;2;A860088
T565;A86;Toksisk virkning av sink eller sinkforbindelse;A;2;A860089
T632;A86;Toksisk virkning av skorpiongift;A;2;A860090
T651;A86;Toksisk virkning av stryknin eller dets salter;A;2;A860091
T591;A86;Toksisk virkning av svoveldioksid;A;2;A860092
T533;A86;Toksisk virkning av tetrakloretylen;A;2;A860093
T566;A86;Toksisk virkning av tinn eller tinnforbindelse;A;2;A860094
T652;A86;Toksisk virkning av tobakk eller nikotin;A;2;A860095
T532;A86;Toksisk virkning av trikloretylen;A;2;A860096
T539;A86;Toksisk virkning av uspesifisert halogen derivat av alifatisk eller aromatisk hydrokarbon;A;2;A860097
T629;A86;Toksisk virkning av uspesifisert skadelig stoff spist som mat;A;2;A860098
T579;A86;Toksisk virkning av uspesifisert uorganisk stoff;A;2;A860099
T889;A87;Komplikasjon etter medisinsk behandling;A;2;A870000
T814;A87;Abscess operasjonssår;A;2;A870001
N994;A87;Adheranser bukhinne komplikasjon;A;2;A870002
T876;A87;Amputasjon senfølger;A;2;A870003
T885;A87;Anestesisjokk;A;2;A870004
E896;A87;Binyresvikt etter behandling;A;2;A870005
T810;A87;Blødning postoperativ;A;2;A870006
T818;A87;Brokk etter operasjon;A;2;A870007
E894;A87;Eggstokksvikt etter behandling;A;2;A870008
E899;A87;Endokrin/metabolsk svikt etter behandling;A;2;A870009
O901;A87;Episiotomi sårruptur;A;2;A870010
O860;A87;Episiotomi/perinealsutur sårinfeksjon;A;2;A870011
T818;A87;Fistel postoperativ vedvarende;A;2;A870012
T869;A87;Funksjonssvikt/avstøting transplantat;A;2;A870013
T860;A87;Graft versus host disease;A;2;A870014
T860;A87;GVHD (graft versus host disease);A;2;A870015
E891;A87;Hypoinsulinemi etter behandling;A;2;A870016
E892;A87;Hypoparatyreoidisme etter behandling;A;2;A870017
E893;A87;Hypopituitarisme etter behandling;A;2;A870018
E890;A87;Hypotyreose etter behandling;A;2;A870019
E890;A87;Hypotyreose etter bestråling;A;2;A870020
E890;A87;Hypotyreose postoperativ;A;2;A870021
O860;A87;Keisersnitt sårinfeksjon;A;2;A870022
T889;A87;Komplikasjon etter kirurgi IKA;A;2;A870023
T889;A87;Komplikasjon etter røntgen;A;2;A870024
T809;A87;Komplikasjon infusjon/injeksjon;A;2;A870025
T889;A87;Komplikasjon medisinsk behandling;A;2;A870026
G979;A87;Komplikasjoner nervesystemet etter behandling;A;2;A870027
